,ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day,Cash_Demand_Lag_2,Cash_Demand_Lag_7,Cash_Demand_MA_3,Cash_Demand_MA_7,Withdrawals_MA_7,Net_Cash_Flow,Withdrawal_to_Deposit_Ratio,Cash_Level_Change,Cash_Utilization_Rate
2284,ATM_0015,2023-12-02,Saturday,Evening,68709,10677,Gas Station,0,0,130826,Snowy,4,59547,14388.0,32332.0,25715.666666666668,33300.0,39270.857142857145,-58032,6.434631953549354,48974.0,0.5251937688227111
4144,ATM_0015,2023-12-07,Thursday,Night,53578,7832,Mall,0,1,92244,Cloudy,1,64181,3212.0,54374.0,42313.333333333336,34701.0,38569.142857142855,-45746,6.840035746201966,-38582.0,0.5808291054160705
1263,ATM_0015,2023-12-08,Friday,Night,47536,13487,Mall,0,1,83278,Rainy,1,38014,59547.0,45196.0,53914.0,33675.0,39057.0,-34049,3.524317912218268,-8966.0,0.5708110185162948
1125,ATM_0015,2024-01-01,Monday,Afternoon,93772,11365,Bank Branch,1,1,58507,Snowy,2,103254,64181.0,8997.0,68483.0,47140.28571428572,50582.57142857143,-82407,8.250219954249516,-24771.0,1.6027483890816483
2956,ATM_0015,2024-01-01,Monday,Morning,50763,10852,Bank Branch,1,0,62282,Rainy,0,43543,38014.0,47386.0,61603.666666666664,46591.28571428572,49362.0,-39911,4.677324242145029,3775.0,0.8150508975305867
1597,ATM_0016,2022-01-05,Wednesday,Night,23932,7001,Mall,0,0,108239,Rainy,2,15499,,,,,,-16931,3.417880605541274,45957.0,0.2211032991805172
3004,ATM_0016,2022-01-14,Friday,Night,45227,9741,Standalone,0,0,86252,Snowy,5,38012,,,,,,-35486,4.642475877643195,-21987.0,0.5243588554468303
2364,ATM_0016,2022-01-18,Tuesday,Afternoon,39330,12975,Supermarket,0,0,125973,Clear,0,31853,15499.0,,28454.666666666668,,,-26355,3.030980271270037,39721.0,0.3122097592341216
683,ATM_0016,2022-02-14,Monday,Afternoon,34682,14233,Supermarket,0,0,57455,Rainy,5,18298,38012.0,,29387.666666666668,,,-20449,2.4365603484614304,-68518.0,0.6036376294491341
1292,ATM_0016,2022-02-17,Thursday,Afternoon,47357,0,Supermarket,0,0,133426,Rainy,2,45858,31853.0,,32003.0,,,-47357,47357.0,75971.0,0.3549308230779608
2519,ATM_0016,2022-02-21,Monday,Morning,46203,7044,Bank Branch,0,0,106573,Clear,2,47437,18298.0,,37197.666666666664,,,-39159,6.558268275372605,-26853.0,0.43353382188734485
1476,ATM_0016,2022-02-23,Wednesday,Evening,18140,12068,Gas Station,0,1,142711,Clear,3,14204,45858.0,,35833.0,30165.85714285714,36410.142857142855,-6072,1.503024277073494,36138.0,0.1271100335643363
1293,ATM_0016,2022-02-24,Thursday,Evening,36479,16288,Bank Branch,0,0,108121,Cloudy,1,19399,47437.0,15499.0,27013.333333333332,30723.0,38202.57142857143,-20191,2.239486770213027,-34590.0,0.3373905161809454
3565,ATM_0016,2022-02-25,Friday,Afternoon,61577,8595,Mall,0,0,129979,Clear,3,54174,14204.0,38012.0,29259.0,33031.857142857145,40538.28571428572,-52982,7.163448115402513,21858.0,0.47374575893028875
2741,ATM_0016,2022-03-02,Wednesday,Morning,42909,11594,Mall,0,0,66824,Cloudy,3,28670,19399.0,31853.0,34081.0,32577.14285714286,41049.57142857143,-31315,3.700646830530401,-63155.0,0.6421195977493116
2442,ATM_0016,2022-03-09,Wednesday,Evening,62904,0,Bank Branch,0,0,154296,Cloudy,2,63350,54174.0,18298.0,48731.333333333336,39013.142857142855,45081.28571428572,-62904,62904.0,87472.0,0.407683932182299
4484,ATM_0016,2022-03-10,Thursday,Afternoon,15468,9237,Gas Station,0,0,127682,Snowy,1,4796,28670.0,45858.0,32272.0,33147.142857142855,40525.71428571428,-6231,1.6743883957566572,-26614.0,0.12114471891104463
5514,ATM_0016,2022-03-14,Monday,Morning,71041,13437,Gas Station,0,0,113028,Rainy,5,57376,63350.0,47437.0,41840.666666666664,34567.0,44074.0,-57604,5.286575383241554,-14654.0,0.628525675053969
1624,ATM_0016,2022-03-16,Wednesday,Afternoon,45154,8163,Standalone,0,0,91572,Snowy,0,35352,4796.0,14204.0,32508.0,37588.142857142855,47933.142857142855,-36991,5.530867221950024,-21456.0,0.4930983269995195
2262,ATM_0016,2022-03-21,Monday,Morning,49050,9607,Mall,0,0,123967,Clear,0,34567,57376.0,19399.0,42431.666666666664,39755.0,49729.0,-39443,5.105120732722731,32395.0,0.3956698153540862
608,ATM_0016,2022-03-22,Tuesday,Night,49528,5757,Gas Station,0,0,111462,Cloudy,0,52273,35352.0,54174.0,40730.666666666664,39483.42857142857,48007.71428571428,-43771,8.601597777005905,-12505.0,0.44434874665805385
100,ATM_0016,2022-03-30,Wednesday,Evening,48394,4823,Gas Station,0,0,88927,Cloudy,4,44383,34567.0,28670.0,43741.0,41728.142857142855,48791.28571428572,-43571,10.031923714759536,-22535.0,0.5441991746038886
463,ATM_0016,2022-03-30,Wednesday,Night,46056,4095,Mall,0,0,122286,Clear,2,47473,52273.0,63350.0,48043.0,39460.0,46384.42857142857,-41961,11.244140625,33359.0,0.3766252882586723
4216,ATM_0016,2022-04-07,Thursday,Night,73030,5682,Bank Branch,0,0,84356,Rainy,4,72416,44383.0,4796.0,54757.333333333336,49120.0,54607.57142857143,-67348,12.850607073728664,-37930.0,0.8657356915927735
1014,ATM_0016,2022-04-30,Saturday,Morning,50683,13117,Standalone,0,0,114068,Cloudy,2,34146,47473.0,57376.0,51345.0,45801.42857142857,51699.28571428572,-37566,3.863622503430401,29712.0,0.4443226847143809
2680,ATM_0016,2022-05-15,Sunday,Morning,69427,12024,Standalone,0,0,83226,Clear,1,67176,72416.0,35352.0,57912.666666666664,50347.71428571428,55166.857142857145,-57403,5.773555093555093,-30842.0,0.8341984476005094
2475,ATM_0016,2022-05-16,Monday,Morning,23060,4451,Bank Branch,0,1,66372,Clear,5,30364,34146.0,34567.0,43895.333333333336,49747.28571428572,51454.0,-18609,5.17969451931716,-16854.0,0.34743566564213824
5577,ATM_0016,2022-05-18,Wednesday,Evening,25766,7340,Gas Station,0,0,87664,Cloudy,5,19801,67176.0,52273.0,39113.666666666664,45108.42857142857,48059.42857142857,-18426,3.5098760386868273,21292.0,0.293917685709071
5582,ATM_0016,2022-05-20,Friday,Afternoon,39130,10904,Mall,0,0,106250,Snowy,5,34736,30364.0,44383.0,28300.333333333332,43730.28571428572,46736.0,-28226,3.5882622650160476,18586.0,0.36828235294117645
3080,ATM_0016,2022-06-11,Saturday,Morning,60405,13622,Mall,0,1,127185,Cloudy,1,66995,19801.0,47473.0,40510.666666666664,46519.142857142855,48785.857142857145,-46783,4.434045364457168,20935.0,0.4749380823210284
3689,ATM_0016,2022-06-17,Friday,Night,36734,5173,Gas Station,0,0,88209,Rainy,2,33608,34736.0,72416.0,45113.0,40975.142857142855,43600.71428571428,-31561,7.099729416312331,-38976.0,0.4164427666111168
5084,ATM_0016,2022-06-18,Saturday,Morning,77816,2334,Supermarket,0,0,80876,Cloudy,2,81497,66995.0,34146.0,60700.0,47739.57142857143,47476.857142857145,-75482,33.32591006423983,-7333.0,0.9621643009050893
4181,ATM_0016,2022-06-27,Monday,Morning,52476,9566,Supermarket,0,0,100833,Clear,5,46571,33608.0,67176.0,53892.0,44796.0,45055.28571428572,-42910,5.485105048604578,19957.0,0.520424860908631
1287,ATM_0016,2022-07-02,Saturday,Afternoon,27492,2606,Mall,0,0,133445,Snowy,0,22832,81497.0,30364.0,50300.0,43720.0,45688.42857142857,-24886,10.545454545454545,32612.0,0.20601746037693433
1328,ATM_0016,2022-07-03,Sunday,Night,29951,16683,Gas Station,0,0,130972,Rainy,5,15043,46571.0,19801.0,28148.666666666668,43040.28571428572,46286.28571428572,-13268,1.795192999280748,-2473.0,0.22868246648138532
33,ATM_0016,2022-07-16,Saturday,Afternoon,61727,12609,Supermarket,0,0,105939,Cloudy,1,60063,22832.0,34736.0,32646.0,46658.42857142857,49514.42857142857,-49118,4.895083267248216,-25033.0,0.582665496181765
3682,ATM_0016,2022-07-19,Tuesday,Evening,57064,13674,Supermarket,0,0,134668,Cloudy,3,37352,15043.0,66995.0,37486.0,42423.71428571428,49037.142857142855,-43390,4.1728702010968926,28729.0,0.4237383788279324
4057,ATM_0016,2022-07-19,Tuesday,Evening,65476,9811,Standalone,0,0,107719,Snowy,1,67546,60063.0,33608.0,54987.0,47272.0,53143.142857142855,-55665,6.673053403995108,-26949.0,0.6078407708946425
4537,ATM_0016,2022-07-19,Tuesday,Afternoon,47166,14389,Supermarket,0,0,75356,Clear,3,28440,37352.0,81497.0,44446.0,39692.42857142857,48764.57142857143,-32777,3.2776928422515637,-32363.0,0.6259090185253995
1172,ATM_0016,2022-07-26,Tuesday,Evening,56474,13698,Supermarket,0,0,151439,Cloudy,0,53746,67546.0,46571.0,49910.666666666664,40717.42857142857,49335.71428571428,-42776,4.122490692751295,76083.0,0.37291582749489893
2553,ATM_0016,2022-07-29,Friday,Afternoon,39564,7499,Bank Branch,0,1,110640,Snowy,1,42318,28440.0,22832.0,41501.333333333336,43501.142857142855,51060.28571428572,-32065,5.2752,-40799.0,0.35759219088937094
3850,ATM_0016,2022-07-30,Saturday,Afternoon,10599,9185,Bank Branch,0,0,101263,Rainy,2,4315,53746.0,15043.0,33459.666666666664,41968.57142857143,48295.71428571428,-1414,1.1538210320052253,-9377.0,0.10466804262168808
3470,ATM_0016,2022-07-31,Sunday,Afternoon,70479,8983,Mall,0,1,123751,Rainy,2,86443,42318.0,60063.0,44358.666666666664,45737.142857142855,49546.0,-61496,7.844946571682992,22488.0,0.5695226705238745
1183,ATM_0016,2022-08-03,Wednesday,Morning,59668,7148,Mall,0,0,76417,Snowy,2,45903,4315.0,37352.0,45553.666666666664,46958.71428571428,49918.0,-52520,8.346342145754651,-47334.0,0.7808210215004515
3261,ATM_0016,2022-08-03,Wednesday,Evening,49431,10089,Bank Branch,0,0,153960,Clear,5,53042,86443.0,67546.0,61796.0,44886.71428571428,47625.857142857145,-39342,4.8990089197224975,77543.0,0.3210639127045986
3699,ATM_0016,2022-08-07,Sunday,Afternoon,66288,6138,Bank Branch,0,0,92176,Cloudy,5,71873,45903.0,28440.0,56939.333333333336,51091.42857142857,50357.57142857143,-60150,10.797849812673073,-61784.0,0.7191459816004165
5505,ATM_0016,2022-08-12,Friday,Morning,61598,8287,Standalone,0,0,54041,Clear,5,46903,53042.0,53746.0,57272.666666666664,50113.857142857145,51089.57142857143,-53311,7.43219111969112,-38135.0,1.1398382709424326
5405,ATM_0016,2022-08-18,Thursday,Night,23512,9220,Bank Branch,0,0,149032,Clear,2,17930,71873.0,42318.0,45568.666666666664,46629.857142857145,48796.42857142857,-14292,2.5498319054332503,94991.0,0.15776477535026034
4554,ATM_0016,2022-08-21,Sunday,Afternoon,70879,14152,Supermarket,0,0,134042,Clear,2,65834,46903.0,4315.0,43555.666666666664,55418.28571428572,57407.857142857145,-56727,5.008054829364799,-14990.0,0.528782023544859
1374,ATM_0016,2022-09-06,Tuesday,Night,36062,4329,Mall,0,1,93064,Snowy,5,35721,17930.0,86443.0,39828.333333333336,48172.28571428572,52491.142857142855,-31733,8.328406466512702,-40978.0,0.3874967764119316
989,ATM_0016,2022-09-11,Sunday,Evening,45449,4799,Gas Station,0,0,138903,Rainy,4,41173,65834.0,45903.0,47576.0,47496.57142857143,50459.857142857145,-40650,9.468541666666667,45839.0,0.32719955652505706
5528,ATM_0016,2022-09-25,Sunday,Afternoon,45056,6753,Gas Station,0,0,108415,Cloudy,4,42562,35721.0,53042.0,39818.666666666664,45999.42857142857,49834.857142857145,-38303,6.671009771986971,-30488.0,0.4155882488585528
453,ATM_0016,2022-10-11,Tuesday,Morning,52959,13078,Bank Branch,0,0,124077,Snowy,5,34494,41173.0,71873.0,39409.666666666664,40659.57142857143,47930.71428571428,-39881,4.049162780029055,15662.0,0.42682366594937016
1108,ATM_0016,2022-10-12,Wednesday,Afternoon,64344,21623,Standalone,0,0,99659,Snowy,2,36336,42562.0,46903.0,37797.333333333336,39150.0,48323.0,-42721,2.9755826859045507,-24418.0,0.6456416379855306
4299,ATM_0016,2022-10-20,Thursday,Evening,48208,6823,Bank Branch,0,0,80730,Rainy,3,43323,34494.0,17930.0,38051.0,42777.57142857143,51851.0,-41385,7.0644783118405625,-18929.0,0.5971509971509972
2403,ATM_0016,2022-10-21,Friday,Afternoon,33004,9978,Supermarket,0,0,117188,Snowy,1,22935,36336.0,65834.0,34198.0,36649.142857142855,46440.28571428572,-23026,3.307345425393326,36458.0,0.28163293169949144
4965,ATM_0016,2022-10-25,Tuesday,Afternoon,45147,3330,Mall,0,0,111269,Rainy,0,48862,43323.0,35721.0,38373.333333333336,38526.42857142857,47738.142857142855,-41817,13.55358751125788,-5919.0,0.40574643431683577
2579,ATM_0016,2022-11-08,Tuesday,Morning,35367,10357,Supermarket,0,1,97823,Rainy,2,26965,22935.0,41173.0,32920.666666666664,36496.71428571428,46297.857142857145,-25010,3.4144622513998844,-13446.0,0.3615407419523016
2002,ATM_0016,2022-12-02,Friday,Evening,68098,11345,Supermarket,0,0,81996,Snowy,5,50015,48862.0,42562.0,41947.333333333336,37561.42857142857,49589.57142857143,-56753,6.001939009342499,-15827.0,0.8305039270208303
5316,ATM_0016,2022-12-07,Wednesday,Morning,73728,8288,Gas Station,0,1,97621,Cloudy,4,87953,26965.0,34494.0,54977.666666666664,45198.42857142857,52556.57142857143,-65440,8.894679695982628,15625.0,0.7552473340777087
3639,ATM_0016,2022-12-17,Saturday,Night,67403,18898,Bank Branch,0,0,111119,Rainy,4,71031,50015.0,36336.0,69666.33333333333,50154.857142857145,52993.57142857143,-48505,3.566484999206307,13498.0,0.6065839325407896
3365,ATM_0016,2022-12-25,Sunday,Night,38363,9224,Mall,1,0,123769,Cloudy,4,42082,87953.0,43323.0,67022.0,49977.57142857143,51587.142857142855,-29139,4.158590785907859,12650.0,0.3099564511307355
4880,ATM_0016,2023-01-01,Sunday,Night,26512,11572,Mall,1,0,86624,Rainy,0,20007,71031.0,22935.0,44373.333333333336,49559.28571428572,50659.71428571428,-14940,2.2908493908234684,-37145.0,0.3060583671961581
2122,ATM_0016,2023-01-10,Tuesday,Afternoon,52973,11626,Bank Branch,0,1,102970,Cloudy,1,49501,42082.0,48862.0,37196.666666666664,49650.57142857143,51777.71428571428,-41347,4.556033370602907,16346.0,0.5144508109158007
4447,ATM_0016,2023-01-12,Thursday,Evening,32254,5504,Supermarket,0,0,122084,Clear,3,23418,20007.0,26965.0,30975.333333333332,49143.857142857145,51333.0,-26750,5.859037238873751,19114.0,0.2641951443268569
877,ATM_0016,2023-01-16,Monday,Night,46102,17992,Standalone,0,0,116042,Snowy,1,27470,49501.0,50015.0,33463.0,45923.142857142855,48190.71428571428,-28110,2.5622186405824485,-6042.0,0.3972871891211803
2437,ATM_0016,2023-02-03,Friday,Evening,28222,16827,Bank Branch,0,0,99070,Rainy,0,14693,23418.0,87953.0,21860.333333333332,35457.42857142857,41689.857142857145,-11395,1.6770858093653436,-16972.0,0.28486928434440295
5652,ATM_0016,2023-02-05,Sunday,Night,59823,12230,Supermarket,0,0,69860,Cloudy,1,60176,27470.0,71031.0,34113.0,33906.71428571428,40607.0,-47593,4.891096394407652,-29210.0,0.8563269395934726
1298,ATM_0016,2023-02-10,Friday,Afternoon,68405,2096,Standalone,0,0,124891,Cloudy,4,70929,14693.0,42082.0,48599.333333333336,38027.71428571428,44898.71428571428,-66309,32.6204101096805,55031.0,0.5477176097557069
5590,ATM_0016,2023-02-16,Thursday,Afternoon,70475,18419,Mall,0,0,96328,Snowy,1,49182,60176.0,20007.0,60095.666666666664,42195.57142857143,51179.142857142855,-52056,3.8260043431053203,-28563.0,0.7316148990947595
3943,ATM_0016,2023-02-17,Friday,Morning,22377,9829,Standalone,0,0,142315,Snowy,2,18619,70929.0,49501.0,46243.333333333336,37783.857142857145,46808.28571428572,-12548,2.2763987792472022,45987.0,0.15723570951761937
2632,ATM_0016,2023-02-19,Sunday,Afternoon,49835,12199,Mall,0,0,133528,Clear,3,39145,49182.0,23418.0,35648.666666666664,40030.57142857143,49319.857142857145,-37636,4.0848360655737705,-8787.0,0.37321760230064105
1354,ATM_0016,2023-03-15,Wednesday,Afternoon,41716,4514,Supermarket,0,0,145838,Rainy,2,41151,18619.0,27470.0,32971.666666666664,41985.0,48693.28571428572,-37202,9.239424141749723,12310.0,0.2860434180391942
5352,ATM_0016,2023-03-29,Wednesday,Evening,56264,17499,Supermarket,0,0,72539,Cloudy,3,55628,39145.0,14693.0,45308.0,47832.857142857145,52699.28571428572,-38765,3.2150857142857143,-73299.0,0.7756379326982726
1111,ATM_0016,2023-03-30,Thursday,Night,44811,6165,Mall,0,1,101361,Cloudy,2,54146,41151.0,60176.0,50308.333333333336,46971.42857142857,50554.71428571428,-38646,7.267434317223484,28822.0,0.44209311273566754
3544,ATM_0016,2023-03-31,Friday,Evening,31877,2550,Gas Station,0,0,100974,Rainy,1,29956,55628.0,70929.0,46576.666666666664,41118.142857142855,45336.42857142857,-29327,12.495883967071737,-387.0,0.3156951294392616
1775,ATM_0016,2023-04-01,Saturday,Night,49669,18729,Standalone,0,0,114453,Clear,2,24804,54146.0,49182.0,36302.0,37635.57142857143,42364.142857142855,-30940,2.651841964762413,13479.0,0.4339685285663111
2569,ATM_0016,2023-04-08,Saturday,Evening,38595,9997,Standalone,0,0,100682,Clear,0,28282,29956.0,18619.0,27680.666666666668,39016.0,44681.0,-28598,3.860272054410882,-13771.0,0.3833356508611271
5585,ATM_0016,2023-04-17,Monday,Evening,47654,5378,Bank Branch,0,0,74624,Rainy,2,47227,24804.0,39145.0,33437.666666666664,40170.57142857143,44369.42857142857,-42276,8.85926752184421,-26058.0,0.6385881217838765
285,ATM_0016,2023-04-23,Sunday,Morning,45421,10283,Standalone,0,0,110593,Rainy,0,46519,28282.0,41151.0,40676.0,40937.42857142857,44898.71428571428,-35138,4.416666666666667,35969.0,0.4107041132802257
4733,ATM_0016,2023-04-25,Tuesday,Afternoon,38445,11785,Mall,0,0,72729,Cloudy,3,20744,47227.0,55628.0,38163.333333333336,35954.0,42353.142857142855,-26660,3.261920923129136,-37864.0,0.5286061956028544
4115,ATM_0016,2023-04-26,Wednesday,Evening,66609,12197,Mall,0,0,103892,Snowy,3,49956,46519.0,54146.0,39073.0,35355.42857142857,45467.142857142855,-54412,5.460649286768323,31163.0,0.6411369499095214
2402,ATM_0016,2023-05-14,Sunday,Night,52458,6286,Gas Station,0,0,89878,Cloudy,3,55577,20744.0,29956.0,42092.333333333336,39015.57142857143,48407.28571428572,-46172,8.34388420550342,-14014.0,0.5836578473041234
3997,ATM_0016,2023-05-16,Tuesday,Evening,49914,841,Gas Station,0,0,81977,Cloudy,4,41297,49956.0,24804.0,48943.333333333336,41371.71428571428,48442.28571428572,-49073,59.280285035629454,-7901.0,0.6088780999548654
3385,ATM_0016,2023-05-24,Wednesday,Afternoon,78257,7615,Mall,0,0,113736,Cloudy,0,74579,55577.0,28282.0,57151.0,47985.57142857143,54108.28571428572,-70642,10.275341386554622,31759.0,0.688058310473377
2619,ATM_0016,2023-06-10,Saturday,Evening,42181,13190,Bank Branch,0,0,104254,Snowy,3,39168,41297.0,47227.0,51681.333333333336,46834.28571428572,53326.42857142857,-28991,3.19771056023046,-9482.0,0.4045983847142556
1118,ATM_0016,2023-06-13,Tuesday,Afternoon,52243,10489,Supermarket,0,0,108720,Snowy,3,33537,74579.0,46519.0,49094.666666666664,44979.71428571428,54301.0,-41754,4.980266920877026,4466.0,0.48052796173657103
3590,ATM_0016,2023-06-15,Thursday,Evening,55305,13583,Standalone,0,1,91745,Cloudy,3,47426,39168.0,20744.0,40043.666666666664,48791.42857142857,56709.57142857143,-41722,4.071333922261484,-16975.0,0.6028121423510818
4307,ATM_0016,2023-06-22,Thursday,Evening,52843,12088,Gas Station,0,0,101867,Snowy,1,46545,33537.0,49956.0,42502.666666666664,48304.142857142855,54743.0,-40755,4.3711638679791545,10122.0,0.5187450302845867
1325,ATM_0016,2023-06-23,Friday,Evening,60836,10900,Supermarket,0,0,94541,Cloudy,3,59703,47426.0,55577.0,51224.666666666664,48893.57142857143,55939.857142857145,-49936,5.580772406201266,-7326.0,0.643488010492802
1743,ATM_0016,2023-06-24,Saturday,Evening,64667,940,Standalone,0,0,80986,Clear,0,63934,46545.0,41297.0,56727.333333333336,52127.42857142857,58047.42857142857,-63727,68.72157279489905,-13555.0,0.7984960363519621
823,ATM_0016,2023-06-27,Tuesday,Evening,32416,11581,Standalone,0,0,82295,Rainy,0,21339,59703.0,74579.0,48325.333333333336,44521.71428571428,51498.71428571428,-20835,2.798825764116733,1309.0,0.39389999392429675
3255,ATM_0016,2023-06-30,Friday,Afternoon,79126,11030,Supermarket,0,1,99957,Snowy,1,78878,63934.0,39168.0,54717.0,50194.57142857143,56776.57142857143,-68096,7.173057746351192,17662.0,0.7916003881669118
2979,ATM_0016,2023-07-09,Sunday,Evening,73195,18915,Mall,0,0,101488,Cloudy,1,57942,21339.0,33537.0,52719.666666666664,53681.0,59769.71428571428,-54280,3.8694755762317614,1531.0,0.7212182721109885
3456,ATM_0016,2023-07-23,Sunday,Morning,39973,32395,Supermarket,0,0,120372,Clear,5,20783,78878.0,47426.0,52534.333333333336,49874.857142857145,57579.42857142857,-7578,1.2338868996172367,18884.0,0.33207888877812114
4263,ATM_0016,2023-07-30,Sunday,Afternoon,50611,24651,Gas Station,0,1,136916,Rainy,4,46760,57942.0,46545.0,41828.333333333336,49905.57142857143,57260.57142857143,-25960,2.0530180107090703,16544.0,0.369650004382249
4787,ATM_0016,2023-08-09,Wednesday,Night,46278,11811,Supermarket,0,0,92346,Rainy,3,41237,20783.0,59703.0,36260.0,47267.57142857143,55180.857142857145,-34467,3.917880121909922,-44570.0,0.5011370281333247
4193,ATM_0016,2023-08-22,Tuesday,Evening,52227,5015,Gas Station,0,0,87888,Cloudy,3,53853,46760.0,63934.0,47283.333333333336,45827.42857142857,53403.71428571428,-47212,10.412081339712918,-4458.0,0.5942449481157838
3333,ATM_0016,2023-08-31,Thursday,Morning,5956,10876,Supermarket,0,0,104809,Clear,0,0,41237.0,21339.0,31696.666666666668,42779.0,49623.71428571428,4920,0.5475774570193988,16921.0,0.05682718087187169
4151,ATM_0016,2023-09-26,Tuesday,Evening,37994,10612,Mall,0,0,89687,Cloudy,0,26813,53853.0,78878.0,26888.666666666668,35341.142857142855,43747.71428571428,-27382,3.579949119004994,-15122.0,0.42362884253013255
769,ATM_0016,2023-10-11,Wednesday,Night,37813,11654,Standalone,0,0,129020,Snowy,4,24324,0.0,57942.0,17045.666666666668,30538.571428571428,38693.142857142855,-26159,3.2443586443586443,39333.0,0.2930785924662843
708,ATM_0016,2023-11-02,Thursday,Morning,36783,6438,Bank Branch,0,0,123734,Snowy,3,34886,26813.0,20783.0,28674.333333333332,32553.285714285714,38237.42857142857,-30345,5.712533002018947,-5286.0,0.2972747991659528
249,ATM_0016,2023-11-04,Saturday,Morning,17699,18210,Supermarket,0,0,120196,Snowy,1,5219,24324.0,46760.0,21476.333333333332,26618.85714285714,33535.71428571428,511,0.9718851243753776,-3538.0,0.14725115644447404
929,ATM_0016,2023-11-08,Wednesday,Night,63941,9339,Bank Branch,0,0,89525,Snowy,0,54050,34886.0,41237.0,31385.0,28449.285714285714,36059.0,-54602,6.84593147751606,-30671.0,0.7142250767941916
1247,ATM_0016,2023-11-10,Friday,Evening,78481,10435,Standalone,0,0,79277,Snowy,0,66253,5219.0,53853.0,41840.666666666664,30220.714285714286,39809.57142857143,-68046,7.520218474511307,-10248.0,0.989959256783178
1809,ATM_0016,2023-11-10,Friday,Night,42606,19038,Mall,0,0,132828,Snowy,5,32493,54050.0,0.0,50932.0,34862.57142857143,45045.28571428572,-23568,2.237827616996691,53551.0,0.3207606829885265
2843,ATM_0016,2023-11-12,Sunday,Evening,42716,3294,Bank Branch,0,0,130559,Clear,1,41664,66253.0,26813.0,46803.333333333336,36984.142857142855,45719.857142857145,-39422,12.963884673748103,-2269.0,0.32717775105507857
2706,ATM_0016,2023-11-14,Tuesday,Night,69261,9149,Supermarket,0,1,80902,Clear,1,79202,32493.0,24324.0,51119.666666666664,44823.857142857145,50212.42857142857,-60112,7.569508196721311,-49657.0,0.8561098613136882
5473,ATM_0016,2023-11-14,Tuesday,Evening,48488,9783,Bank Branch,0,0,89631,Cloudy,0,39725,41664.0,34886.0,53530.333333333336,45515.142857142855,51884.57142857143,-38705,4.9558462796402285,8729.0,0.5409735470986601
5444,ATM_0016,2023-11-26,Sunday,Morning,65519,12432,Bank Branch,0,0,103835,Rainy,4,53384,79202.0,5219.0,57437.0,52395.857142857145,58716.0,-53087,5.269765945467707,14204.0,0.6309914768623297
1746,ATM_0016,2023-12-17,Sunday,Night,45100,19926,Gas Station,0,1,68939,Clear,3,39733,39725.0,54050.0,44280.666666666664,50350.57142857143,56024.42857142857,-25174,2.263260902293371,-34896.0,0.6542015404923193
3782,ATM_0016,2024-01-01,Monday,Evening,46297,2197,Mall,1,0,122242,Snowy,3,54951,53384.0,66253.0,49356.0,48736.0,51426.71428571428,-44100,21.06323930846224,53303.0,0.37873235058326926
2482,ATM_0017,2022-01-04,Tuesday,Night,40415,4598,Gas Station,0,0,107601,Clear,5,33408,,,,,,-35817,8.787779952163513,-14641.0,0.3756005985074488
2433,ATM_0017,2022-01-05,Wednesday,Afternoon,34378,15016,Mall,0,0,110969,Cloudy,1,26234,,,,,,-19362,2.289272158220683,3368.0,0.3097982319386495
3078,ATM_0017,2022-01-18,Tuesday,Afternoon,9800,8532,Bank Branch,0,0,118022,Snowy,4,2667,33408.0,,20769.666666666668,,,-1268,1.1484823625922889,7053.0,0.08303536628764129
2445,ATM_0017,2022-01-19,Wednesday,Morning,50593,8920,Mall,0,0,122757,Snowy,1,50932,26234.0,,26611.0,,,-41673,5.671225198968726,4735.0,0.41213942993067604
2113,ATM_0017,2022-01-21,Friday,Morning,53565,10515,Supermarket,0,0,100479,Snowy,0,51471,2667.0,,35023.333333333336,,,-43050,5.093666793457588,-22278.0,0.5330964679186696
4031,ATM_0017,2022-02-06,Sunday,Morning,47857,10622,Supermarket,0,0,101933,Cloudy,5,31160,50932.0,,44521.0,,,-37235,4.505036242116163,1454.0,0.4694946680662788
2570,ATM_0017,2022-02-07,Monday,Evening,51083,7189,Bank Branch,0,0,71558,Cloudy,5,48815,51471.0,,43815.333333333336,34955.28571428572,41098.71428571428,-43894,7.104728789986091,-30375.0,0.7138684703317588
3628,ATM_0017,2022-02-07,Monday,Morning,80540,7915,Supermarket,0,0,79179,Clear,2,65060,31160.0,33408.0,48345.0,39477.0,46830.857142857145,-72625,10.17433046993431,7621.0,1.0171889010975133
2762,ATM_0017,2022-02-08,Tuesday,Morning,57533,1888,Standalone,0,0,97732,Clear,5,51106,48815.0,26234.0,54993.666666666664,43030.142857142855,50138.71428571428,-55645,30.456855479089466,18553.0,0.5886812916956575
3924,ATM_0017,2022-02-11,Friday,Night,32695,9531,Mall,0,0,118157,Clear,5,20188,65060.0,2667.0,45451.333333333336,45533.142857142855,53409.42857142857,-23164,3.430025178346622,20425.0,0.2767081087028276
4207,ATM_0017,2022-02-21,Monday,Night,41913,10765,Bank Branch,0,0,127647,Clear,4,39973,51106.0,50932.0,37089.0,43967.57142857143,52169.42857142857,-31148,3.893089355378042,9490.0,0.32835084255799196
